ID публикации,Заголовок материала,URL
5bf52faf9a79477da426e81b,Как обанкротиться подешевле: прагматичные наставления юриста,https://pro.rbc.ru/news/5bf52faf9a79477da426e81b
5c04ee439a7947b3fe48fe55,Имитация тунца: как искусственная рыба вытесняет натуральную,https://pro.rbc.ru/news/5c04ee439a7947b3fe48fe55
5c04f06c9a7947b48d48fe60,Сколько россияне тратят на путешествия,https://pro.rbc.ru/news/5c04f06c9a7947b48d48fe60
5c0695d69a79472e0096479e,Самые ходовые: какие специалисты в строительстве стали востребованнее,https://pro.rbc.ru/news/5c0695d69a79472e0096479e
5c07891f9a794775e61affd1,Как запустить новый продукт: четыре обязательных шага,https://pro.rbc.ru/news/5c07891f9a794775e61affd1
5c07cc619a79470aafcb889b,Что закладывает работодатель на 2019 год: первая порция HR-прогнозов,https://pro.rbc.ru/news/5c07cc619a79470aafcb889b
5c07e5c99a7947149e1a2b9b,Рост зарплат и сокращение штатов: вторая порция прогнозов от HR на 2019-й,https://pro.rbc.ru/news/5c07e5c99a7947149e1a2b9b
5c07ef8c9a7947175a925dfb,Полба — новый суперфуд: как менялась мода на продукты в России,https://pro.rbc.ru/news/5c07ef8c9a7947175a925dfb
5c08e2c39a794752fe150aa0,Просто праздник какой-то: как выжимать из покупателей максимум денег,https://pro.rbc.ru/news/5c08e2c39a794752fe150aa0
5c09272f9a79476ef22fa832,Насколько успешно британские ретейлеры давят на чувства покупателей,https://pro.rbc.ru/news/5c09272f9a79476ef22fa832
5c0a74d99a7947ceb8cceb00,Сколько стоит открыть магазин без касс,https://pro.rbc.ru/news/5c0a74d99a7947ceb8cceb00
5c0a85f59a7947d487689163,Путешествие потребителя: как выстроить карту взаимодействия с клиентом,https://pro.rbc.ru/news/5c0a85f59a7947d487689163
5c0a8af99a7947d6c39db524,Здравые идеи: как предприниматели подстраиваются под ЗОЖ,https://pro.rbc.ru/news/5c0a8af99a7947d6c39db524
5c0e1e999a794713f59ea473,Почему 2019-й для ретейлеров будет похож на 1993-й,https://pro.rbc.ru/news/5c0e1e999a794713f59ea473
5c0e248d9a7947169037d781,С этим придется считаться: 3 тренда в пищевой промышленности на 2019 год,https://pro.rbc.ru/news/5c0e248d9a7947169037d781
5c0e42929a7947234328b51c,Полевые инвестиции: какие технологии нужны аграриям,https://pro.rbc.ru/news/5c0e42929a7947234328b51c
5c0e5d1c9a79472d9939aac6,Виртуальная среда реальной недвижимости: как застройщикам использовать VR,https://pro.rbc.ru/news/5c0e5d1c9a79472d9939aac6
5c0e74a29a7947377dcac663,Как пользователи выбирают упаковку (спойлер!): за семь секунд,https://pro.rbc.ru/news/5c0e74a29a7947377dcac663
5c0e78029a79473a0a20d7f8,Покупатели на крючке. Зачем блогеры шуршат и шепчут в видеорекламе,https://pro.rbc.ru/news/5c0e78029a79473a0a20d7f8
5c0f71b29a794781c2bb985d,Риэлторы ожидают падение спроса на подмосковную недвижимость в праздники,https://pro.rbc.ru/news/5c0f71b29a794781c2bb985d
5c0f779d9a794784da9ed666,Выдача кредитных карт россиянам выросла на 69%,https://pro.rbc.ru/news/5c0f779d9a794784da9ed666
5c0f84539a794788e1221e79,"Сети здоровых продуктов за три года разрослись в Москве в 3,5 раза",https://pro.rbc.ru/news/5c0f84539a794788e1221e79
5c0f85ba9a79478a2cdc7130,"Дорогое регулирование: 8 абсурдных норм, которые мешают строить хорошо",https://pro.rbc.ru/news/5c0f85ba9a79478a2cdc7130
5c0f91519a79479015cb5e62,Knight Frank: за три года рынок Москвы покинули 12 продуктовых сетей,https://pro.rbc.ru/news/5c0f91519a79479015cb5e62
5c0fe1db9a7947b046b7bbbe,Lamoda откроет первый офлайн-магазин в «Атриуме»,https://pro.rbc.ru/news/5c0fe1db9a7947b046b7bbbe
5c0fe7089a7947b1bc326f8c,Главгосстройнадзор проверяет готовность пяти домов Urban Group,https://pro.rbc.ru/news/5c0fe7089a7947b1bc326f8c
5c1006c49a7947bc50593b5c,Как зарегистрировать товарный знак и не попасть в судебный процесс,https://pro.rbc.ru/news/5c1006c49a7947bc50593b5c
5c10b42d9a7947e6bd00a203,Рынок онлайн-торговли в России вырос на треть,https://pro.rbc.ru/news/5c10b42d9a7947e6bd00a203
5c10c8a79a7947ecd6a83e3f,Коворкинг WeWork откроется в «Белой площади»,https://pro.rbc.ru/news/5c10c8a79a7947ecd6a83e3f
5c10c97a9a7947edaccb9b9f,Корпоративное управление в России: кризис жанра и надежды на будущее,https://pro.rbc.ru/news/5c10c97a9a7947edaccb9b9f
5c10cfe79a7947eeb32b16c4,Как улучшить службу поддержки: рекомендации от «Додо пицца»,https://pro.rbc.ru/news/5c10cfe79a7947eeb32b16c4
5c10d95e9a7947f500a95bc5,Продажа «О'Кей» супермаркетов в начале года не оправдала ожиданий Fitch,https://pro.rbc.ru/news/5c10d95e9a7947f500a95bc5
5c10e7629a7947fb78b41fec,СРО предлагают ужесточить требования к компаниям-исполнителям госзаказов,https://pro.rbc.ru/news/5c10e7629a7947fb78b41fec
5c10f1bd9a7947ffd70f1f72,Эксперты рассказали о тратах россиян на новогодние подарки,https://pro.rbc.ru/news/5c10f1bd9a7947ffd70f1f72
5c1104ba9a7947080ff190ce,ЦБ назвал невозможным поэтапное раскрытие эскроу-счетов,https://pro.rbc.ru/news/5c1104ba9a7947080ff190ce
5c1110ed9a79470d3626b6a4,Исследование GfK: новые нюансы в мире шоппинга,https://pro.rbc.ru/news/5c1110ed9a79470d3626b6a4
5c12096a9a794750553674eb,"Средний чек российского покупателя в ноябре вырос на 4,6% – до 528 руб.",https://pro.rbc.ru/news/5c12096a9a794750553674eb
5c120e809a794751df877353,"Столичные новостройки за месяц подорожали на 1,4%",https://pro.rbc.ru/news/5c120e809a794751df877353
5c12169e9a794755992abbf1,Рынок игровых консолей в России вырос на треть,https://pro.rbc.ru/news/5c12169e9a794755992abbf1
5c121cf59a794758d9f65d79,Cushman & Wakefield: общепит занял почти 40% главных торговых улиц Москвы,https://pro.rbc.ru/news/5c121cf59a794758d9f65d79
5c1225ff9a79475c8f5a44a2,Как оптимизировать логистику,https://pro.rbc.ru/news/5c1225ff9a79475c8f5a44a2
5c12275a9a79475cbdbbd136,Как компании обезопасить себя на случай мести обиженного экс-сотрудника,https://pro.rbc.ru/news/5c12275a9a79475cbdbbd136
5c1235ee9a794763a8c2b036,Deloitte: как россияне будут тратить деньги на Новый год и Рождество,https://pro.rbc.ru/news/5c1235ee9a794763a8c2b036
5c1241929a7947683d913eb2,РАНХиГС: санкции сильнее всего ударили по беднейшим слоям населения,https://pro.rbc.ru/news/5c1241929a7947683d913eb2
5c1247599a7947696ffac6c6,Как «умные» прогнозы меняют бизнес,https://pro.rbc.ru/news/5c1247599a7947696ffac6c6
5c124cc69a79476dfe57273d,Швеллер в один клик: как компании осваивают b2b-продажи в интернете,https://pro.rbc.ru/news/5c124cc69a79476dfe57273d
5c124f049a79476ec4ae8baa,Будущее здравоохранения: что мешает внедрению искусственного интеллекта,https://pro.rbc.ru/news/5c124f049a79476ec4ae8baa
5c1251bc9a79476fb2a8a110,Меню на холодильнике: как развивается рынок e-grocery в регионах,https://pro.rbc.ru/news/5c1251bc9a79476fb2a8a110
5c125b1a9a794773c945fd60,Бананы и киндер-сюрпризы: что москвичи заказывают в офис,https://pro.rbc.ru/news/5c125b1a9a794773c945fd60
5c1269eb9a79477a09bff29e,Что ждут от 2019 года ретейлеры бытовой техники и электроники,https://pro.rbc.ru/news/5c1269eb9a79477a09bff29e
5c126b5d9a79477a7c4b4974,Почему страховые компании не выплачивают компенсации обманутым дольщикам,https://pro.rbc.ru/news/5c126b5d9a79477a7c4b4974
5c126c299a79477b3368cdd1,Итоги года от Hays: какие качества кандидатов стали ценить работодатели,https://pro.rbc.ru/news/5c126c299a79477b3368cdd1
5c1271219a79477d03d76f23,В России стали меньше строить и больше продавать,https://pro.rbc.ru/news/5c1271219a79477d03d76f23
5c1275609a79477e8fee4589,Джон Бальдони — РБК: «В компаниях комфортно далеко не лучшим работникам»,https://pro.rbc.ru/news/5c1275609a79477e8fee4589
5c13580d9a794734aa6845e8,В развитие новых территорий Москвы в ближайшие полгода вложат 1 трлн руб.,https://pro.rbc.ru/news/5c13580d9a794734aa6845e8
5c1369af9a79473ae4475e6d,PwC: что мешает прорывному развитию «Интернета вещей» в России,https://pro.rbc.ru/news/5c1369af9a79473ae4475e6d
5c139dc39a794754b513faae,Россияне готовы к инновационным автомобилям,https://pro.rbc.ru/news/5c139dc39a794754b513faae
5c13b3339a79475f0cec3328,Сколько регионы России заработали на внутреннем туризме в 2018 году,https://pro.rbc.ru/news/5c13b3339a79475f0cec3328
5c1761969a79472d483dfbec,Как за год изменились цены на вторичное жилье в Москве и  55 городах РФ,https://pro.rbc.ru/news/5c1761969a79472d483dfbec
5c17686f9a79472ee5c5830e,«Магнит» открыл индустриальный парк площадью 230 га,https://pro.rbc.ru/news/5c17686f9a79472ee5c5830e
5c176b449a79472ff5851724,Стройматериалы стали самыми популярными товарами уходящего года,https://pro.rbc.ru/news/5c176b449a79472ff5851724
5c1770f49a7947339642e6cc,Kelly Services: как теперь надо искать персонал,https://pro.rbc.ru/news/5c1770f49a7947339642e6cc
5c1776d29a79473656af1278,Санкции и американо-китайская торговая война ударили по грузоперевозкам,https://pro.rbc.ru/news/5c1776d29a79473656af1278
5c177f399a79473979496c8f,C какими трудностями сталкиваются ретейлеры при внедрении Click & collect,https://pro.rbc.ru/news/5c177f399a79473979496c8f
5c17a9229a79474a07ceff43,Составлен топ-10 московских девелоперов по размеру выручки в 2018 году,https://pro.rbc.ru/news/5c17a9229a79474a07ceff43
5c17c0dc9a7947545fba2b76,Чего застройщики ждут в следующем году: прогнозы крупных компаний,https://pro.rbc.ru/news/5c17c0dc9a7947545fba2b76
5c17c2849a79475435100fe2,Полные полки — пустые подсобки: как поднять продажи точным прогнозом,https://pro.rbc.ru/news/5c17c2849a79475435100fe2
5c17c3189a7947542f245ac6,Savills: спрос на аренду элитной недвижимости в Москве вырос на треть,https://pro.rbc.ru/news/5c17c3189a7947542f245ac6
5c17c64f9a794755fb43fa18,Кушать подано: новые тренды отечественного рынка e-grocery,https://pro.rbc.ru/news/5c17c64f9a794755fb43fa18
5c17e2479a79475e050a1e0c,Кто больше всех зарабатывает на закупках Фонда реновации: топ-10,https://pro.rbc.ru/news/5c17e2479a79475e050a1e0c
5c18b4bb9a79470c0902ed9c,Москва вошла в европейский топ-3 по стоимости аренды премиальных офисов,https://pro.rbc.ru/news/5c18b4bb9a79470c0902ed9c
5c18c0309a794710f06fb330,PwC: механизм эскроу-счетов повысит себестоимость проектов застройки,https://pro.rbc.ru/news/5c18c0309a794710f06fb330
